J’,Par,N’,J’’,Par’’,N’’,Frequency,State’,V’,Lambda’,Sigma’,Omega’,State’’,V’’,Lambda’’,Sigma’’,Omega’’,Weight
18.5,-,18,19.5,+,1,14317.28,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
19.5,+,18,20.5,-,1,14319.06,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
20.5,-,18,21.5,+,1,14321.19,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
21.5,+,18,22.5,-,1,14323.77,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
22.5,-,18,23.5,+,1,14326.66,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
23.5,+,18,24.5,-,1,14329.42,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
24.5,-,18,25.5,+,1,14332.18,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
25.5,+,18,26.5,-,1,14335.16,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
26.5,-,18,27.5,+,1,14338.62,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
27.5,+,18,28.5,-,1,14342.2,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
28.5,-,18,29.5,+,1,14346.03,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
29.5,+,18,30.5,-,1,14350.2,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
30.5,-,18,31.5,+,1,14354.58,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
31.5,+,18,32.5,-,1,14359.02,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
32.5,-,18,33.5,+,1,14363.79,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
33.5,+,18,34.5,-,1,14368.66,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
34.5,-,18,35.5,+,1,14373.71,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
35.5,+,18,36.5,-,1,14378.9,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
36.5,-,18,37.5,+,1,14384.2,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
37.5,+,18,38.5,-,1,14389.55,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
38.5,-,18,39.5,+,1,14395,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
39.5,+,18,40.5,-,1,14400.5,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
40.5,-,18,41.5,+,1,14406.3,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
41.5,+,18,42.5,-,1,14412.17,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
42.5,-,18,43.5,+,1,14412.17,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
4.5,-,18,3.5,+,1,14406.3,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
5.5,+,18,4.5,-,1,14417.83,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
6.5,-,18,5.5,+,1,14429.66,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
7.5,+,18,6.5,-,1,14441.86,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
8.5,-,18,7.5,+,1,14454.37,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
9.5,+,18,8.5,-,1,14467.12,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
10.5,-,18,9.5,+,1,14480.17,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
11.5,+,18,10.5,-,1,14493.48,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
12.5,-,18,11.5,+,1,14507.06,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
13.5,+,18,12.5,-,1,14520.83,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
14.5,-,18,13.5,+,1,14534.9,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
15.5,+,18,14.5,-,1,14548.76,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
16.5,-,18,15.5,+,1,14563.45,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
1.5,-,18,0.5,+,2,14377.91,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
2.5,+,18,1.5,-,2,14383.82,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
3.5,-,18,2.5,+,2,14389.28,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
4.5,+,18,3.5,-,2,14396.41,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
5.5,-,18,4.5,+,2,14403.9,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
6.5,+,18,5.5,-,2,14411.14,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
7.5,-,18,6.5,+,2,14418.73,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
8.5,+,18,7.5,-,2,14426.73,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
9.5,-,18,8.5,+,2,14435.25,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
10.5,+,18,9.5,-,2,14443.72,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
11.5,-,18,10.5,+,2,14452.71,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
12.5,+,18,11.5,-,2,14462.06,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
13.5,-,18,12.5,+,2,14471.66,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
14.5,+,18,13.5,-,2,14481.6,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
15.5,-,18,14.5,+,2,14491.77,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
16.5,+,18,15.5,-,2,14502.34,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
17.5,-,18,16.5,+,2,14513.05,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
18.5,+,18,17.5,-,2,14524.2,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
20.5,+,18,19.5,-,2,14547.35,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
21.5,-,18,20.5,+,2,14558.7,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
22.5,+,18,21.5,-,2,14570.63,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
23.5,-,18,22.5,+,2,14582.71,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
24.5,+,18,23.5,-,2,14595.02,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
25.5,-,18,24.5,+,2,14607.5,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
26.5,+,18,25.5,-,2,14620.14,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
27.5,-,18,26.5,+,2,14632.82,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
28.5,+,18,27.5,-,2,14645.68,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
29.5,-,18,28.5,+,2,14658.56,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
30.5,+,18,29.5,-,2,14671.5,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
31.5,-,18,30.5,+,2,14684.47,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
32.5,+,18,31.5,-,2,14697.55,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
33.5,-,18,32.5,+,2,14711.04,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
1.5,-,18,2.5,+,2,14356.63,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
2.5,+,18,3.5,-,2,14348.6,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
3.5,-,18,4.5,+,2,14340.6,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
4.5,+,18,5.5,-,2,14332.6,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
5.5,-,18,6.5,+,2,14325.77,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
6.5,+,18,7.5,-,2,14319.06,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
7.5,-,18,8.5,+,2,14312.34,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
8.5,+,18,9.5,-,2,14306.51,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
9.5,-,18,10.5,+,2,14300.85,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
10.5,+,18,11.5,-,2,14295.62,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
11.5,-,18,12.5,+,2,14290.9,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
12.5,+,18,13.5,-,2,14286.37,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
13.5,-,18,14.5,+,2,14282.28,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
14.5,+,18,15.5,-,2,14276.68,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
15.5,-,18,16.5,+,2,14275.49,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
16.5,+,18,17.5,-,2,14272.7,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
17.5,-,18,18.5,+,2,14270.3,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
18.5,+,18,19.5,-,2,14267.92,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
19.5,-,18,20.5,+,2,14266.08,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
20.5,+,18,21.5,-,2,14264.65,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
21.5,-,18,22.5,+,2,14263.56,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
22.5,+,18,23.5,-,2,14262.89,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
23.5,-,18,24.5,+,2,14262.33,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
24.5,+,18,25.5,-,2,14262.33,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
25.5,-,18,26.5,+,2,14262.89,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
26.5,+,18,27.5,-,2,14264.65,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
27.5,-,18,28.5,+,2,14266.08,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
28.5,+,18,29.5,-,2,14267.92,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
29.5,-,18,30.5,+,2,14270.3,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
30.5,+,18,31.5,-,2,14272.5,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
31.5,-,18,32.5,+,2,14274.89,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
32.5,+,18,33.5,-,2,14278.03,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
1.5,+,18,0.5,-,2,14393.18,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
2.5,-,18,1.5,+,2,14403.9,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
3.5,+,18,2.5,-,2,14414.62,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
4.5,-,18,3.5,+,2,14425.88,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
5.5,+,18,4.5,-,2,14437.11,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
6.5,-,18,5.5,+,2,14448.85,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
7.5,+,18,6.5,-,2,14460.63,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
8.5,-,18,7.5,+,2,14472.73,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
9.5,+,18,8.5,-,2,14485.07,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
10.5,-,18,9.5,+,2,14497.82,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
11.5,+,18,10.5,-,2,14510.65,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
12.5,-,18,11.5,+,2,14523.59,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
13.5,+,18,12.5,-,2,14537.01,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
14.5,-,18,13.5,+,2,14550.17,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
15.5,+,18,14.5,-,2,14563.48,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
16.5,-,18,15.5,+,2,14576.38,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
1.5,+,18,2.5,-,2,14358.61,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
2.5,-,18,3.5,+,2,14354.8,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
3.5,+,18,4.5,-,2,14351.28,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
4.5,-,18,5.5,+,2,14348.05,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
5.5,+,18,6.5,-,2,14345.29,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
6.5,-,18,7.5,+,2,14343,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
7.5,+,18,8.5,-,2,14340.6,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
8.5,-,18,9.5,+,2,14338.6,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
9.5,+,18,10.5,-,2,14337.21,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
10.5,-,18,11.5,+,2,14335.99,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
11.5,+,18,12.5,-,2,14335.13,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
12.5,-,18,13.5,+,2,14334.2,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
13.5,+,18,14.5,-,2,14333.8,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
14.5,-,18,15.5,+,2,14334.2,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
15.5,+,18,16.5,-,2,14334.2,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
16.5,-,18,17.5,+,2,14334,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
17.5,+,18,18.5,-,2,14335.13,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
18.5,-,18,19.5,+,2,14335.99,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
19.5,+,18,20.5,-,2,14337.21,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
20.5,-,18,21.5,+,2,14338.6,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
21.5,+,18,22.5,-,2,14340.6,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
22.5,-,18,23.5,+,2,14342,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
23.5,+,18,24.5,-,2,14343.72,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
24.5,-,18,25.5,+,2,14345.29,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
25.5,+,18,26.5,-,2,14347.13,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
26.5,-,18,27.5,+,2,14349.25,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
27.5,+,18,28.5,-,2,14351.28,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
28.5,-,18,29.5,+,2,14353.8,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
29.5,+,18,30.5,-,2,14357.01,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
30.5,-,18,31.5,+,2,14360.24,4,1,0,-0.5,-0.5,1,1,0,0.5,0.5,1
31.5,+,18,32.5,-,2,14363.75,4,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
0.5,+,25,1.5,-,1,18857.02819,2,0,1,0.5,0.5,1,0,0,-0.5,-0.5,1
0.5,+,25,0.5,-,1,18857.21575,2,0,1,0.5,0.5,1,0,0,-0.5,-0.5,1
0.5,-,25,1.5,+,1,18842.83874,2,0,-1,-0.5,-0.5,1,0,0,0.5,0.5,1
0.5,-,25,0.5,+,1,18864.44699,2,0,-1,-0.5,-0.5,1,0,0,0.5,0.5,1
1.5,-,25,2.5,+,1,18853.20077,2,0,-1,-0.5,-0.5,1,0,0,0.5,0.5,1
1.5,-,25,1.5,+,1,18853.51196,2,0,-1,-0.5,-0.5,1,0,0,0.5,0.5,1
1.5,+,25,2.5,-,1,18831.96144,2,0,1,0.5,0.5,1,0,0,-0.5,-0.5,1
1.5,+,25,0.5,-,1,18868.14813,2,0,1,0.5,0.5,1,0,0,-0.5,-0.5,1
1.5,+,25,1.5,-,1,18867.96705,2,0,1,0.5,0.5,1,0,0,-0.5,-0.5,1
1.5,-,25,0.5,+,1,18979.62815,2,0,-1,0.5,-1.5,1,0,0,0.5,0.5,1
1.5,-,25,2.5,+,1,18957.72574,2,0,-1,0.5,-1.5,1,0,0,0.5,0.5,1
1.5,-,25,1.5,+,1,18958.03314,2,0,-1,0.5,-1.5,1,0,0,0.5,0.5,1
1.5,+,26,0.5,-,1,18972.49551,2,0,1,-0.5,1.5,1,0,0,-0.5,-0.5,1
1.5,+,26,2.5,-,1,18936.30136,2,0,1,-0.5,1.5,1,0,0,-0.5,-0.5,1
2.5,+,25,1.5,-,1,18885.76706,2,0,1,0.5,0.5,1,0,0,-0.5,-0.5,1
2.5,+,25,3.5,-,1,18849.32571,2,0,1,0.5,0.5,1,0,0,-0.5,-0.5,1
2.5,+,25,2.5,-,1,18849.76125,2,0,1,0.5,0.5,1,0,0,-0.5,-0.5,1
2.5,-,28,3.5,+,1,18821.03827,2,0,-1,-0.5,-0.5,1,0,0,0.5,0.5,1
2.5,-,28,1.5,+,1,18871.75123,2,0,-1,-0.5,-0.5,1,0,0,0.5,0.5,1
2.5,-,28,2.5,+,1,18871.4228,2,0,-1,-0.5,-0.5,1,0,0,0.5,0.5,1
2.5,+,26,1.5,-,1,18991.83718,2,0,1,-0.5,1.5,1,0,0,-0.5,-0.5,1
