1.4,45119.3490789598
1.45,40354.4229834899
1.5,36335.3108397899
1.55,32904.7147598099
1.6,30020.9761358397
1.65,27616.46215853
1.7,25632.3607859593
1.75,24014.4609851399
1.8,22716.9846986495
1.85,21698.70892868
1.86,21525.2842719899
1.87,21361.2647664594
1.88,21206.3856095392
1.89,21060.4147044299
1.9,20923.0930630099
1.91,20794.1691727899
1.92,20673.39347101
1.93,20560.5421642894
1.94,20455.4020382594
1.95,20357.6837057294
1.96,20267.2399720494
1.97,20183.8109452799
1.98,20107.2007049592
1.981,20099.9066298399
1.982,20092.6785710696
1.983,20085.5162199801
1.984,20078.4194055898
1.985,20071.3879067292
1.986,20064.4215254495
1.987,20057.52013514
1.988,20050.6834087595
1.989,20043.9111850392
1.99,20037.2032937892
1.991,20030.5595198199
1.992,20023.9797026496
1.993,20017.4605686795
1.994,20011.0077719092
1.995,20004.61860744
1.996,19998.2926844396
1.997,19992.0296525396
1.998,19985.8294320293
1.999,19979.6917639701
2,19973.6164615592
2.001,19967.6033244897
2.002,19961.6521734297
2.003,19955.76280481
2.004,19949.9350393796
2.005,19944.1686163899
2.006,19938.4634567099
2.007,19932.8182522999
2.008,19927.2349530896
2.009,19921.7123103198
2.01,19916.2500918899
2.011,19910.8481500493
2.012,19905.5062867394
2.013,19900.2243126398
2.014,19895.0021666996
2.015,19889.8394087097
2.016,19884.7363947397
2.017,19879.6919662096
2.018,19874.7063143998
2.019,19869.7797488999
2.02,19864.9119724492
2.03,19819.4136138996
2.04,19779.5740055498
2.05,19745.2193898698
2.06,19716.1684968099
2.07,19692.2566113593
2.08,19673.3193109697
2.09,19659.1969105592
2.1,19649.7328803092
2.11,19644.7748418897
2.12,19644.1828110293
2.13,19647.7954111295
2.14,19655.4803569093
2.141,19656.4676384898
2.142,19657.4944227496
2.143,19658.55977384
2.144,19659.6643484794
2.145,19660.80774666
2.146,19661.98985017
2.147,19663.2105151396
2.148,19664.4696418401
2.149,19665.7671460696
2.15,19667.1027284693
2.151,19668.47632859
2.152,19669.8879886093
2.153,19671.3372675292
2.154,19672.8238956397
2.155,19674.3484478295
2.156,19675.9099045899
2.157,19677.5093579497
2.158,19679.1455927594
2.159,19680.8187584495
2.16,19682.5291636894
2.2,19779.7425910896
2.25,19972.3606584501
2.3,20231.6547109298
2.35,20546.0458794497
2.4,20905.35830124
2.45,21300.5511638094
2.5,21723.5510325199
2.55,22167.0880269594
2.56,22257.6747338297
2.57,22348.7704240894
2.58,22440.3270360194
2.59,22532.2996912198
2.6,22624.6278507793
2.61,22717.3047548896
2.62,22810.2526820293
2.63,22903.4438317995
2.64,22996.8273528293
2.65,23090.3695276696
2.66,23184.0306784296
2.67,23277.7709369892
2.68,23371.5517227994
2.69,23465.3401878597
2.7,23559.0980801797
2.71,23652.7983003501
2.72,23746.3897532094
2.73,23839.85742555
2.74,23933.1670928197
2.75,24026.2833861792
2.76,24119.1783258896
2.77,24211.8236584095
2.78,24304.1888333997
2.79,24396.2525154799
2.8,24487.9865196794
2.81,24579.3658051593
2.82,24670.3647197494
2.83,24760.9627308697
2.84,24851.1351435697
2.85,24940.86211605
2.86,25030.1213430297
2.87,25118.89253073
2.88,25207.16012426
2.89,25294.9091749201
2.9,25382.1107034096
2.91,25468.7560494496
2.92,25554.8279325794
2.93,25640.30896571
2.94,25725.1911246497
2.95,25809.4594315393
2.96,25893.0940656196
2.97,25976.0931813093
2.98,26058.4405480297
2.99,26140.1272262894
3,26221.1444523698
3.01,26301.4828935098
3.02,26381.12512853
3.03,26460.0813880693
3.04,26538.3373968592
3.05,26615.8803344993
3.06,26692.7125071893
3.07,26768.8250917895
3.08,26844.2120270496
3.09,26918.26212967
3.1,26992.1803805297
3.15,27210.39754018
3.2,27552.6039773393
3.25,27879.0333972396
3.3,28190.8438998098
3.35,28489.4234417099
3.4,28776.2597974194
3.45,29052.8986674892
3.5,29320.8223547898
3.55,29581.1473674197
3.6,29838.39430572
3.65,30103.6937702699
3.7,30373.2577919997
3.75,30620.2956044096
3.8,30846.5113694593
3.85,31054.3542297296
3.9,31244.0066995593
3.95,31316.7650177898
4,31484.3047646899
4.05,31639.85688149
4.1,31783.4620820498
4.15,31915.4509332394
4.2,32036.2227588398
4.25,32146.3755066097
4.3,32246.3209909592
4.35,32336.8127254192
4.4,32418.5432094401
4.45,32492.2204584395
4.5,32558.5374728292
4.55,32618.2569472399
4.6,32671.86179855
4.65,32720.0290943198
4.7,32763.2950973297
4.75,32802.17143826
4.8,32837.5859904997
4.85,32868.5388931697
4.9,32896.8020663494
4.95,32922.6579849692
5,32945.5274914792
5.05,32966.1603615498
5.1,32984.7239476899
5.15,33001.5059690299
5.2,33016.6673711892
5.25,33030.3574440395
5.3,33042.7223943593
5.35,33053.8926064493
5.4,33063.9907663995
5.45,33073.1116318395
5.5,33081.2743214499
5.55,33088.6968941893
5.6,33095.3989387592
5.65,33101.4149078494
5.7,33106.8420777395
5.75,33111.71315365
5.8,33116.0860925401
5.85,33120.0046081394
5.9,33123.51238799
5.95,33126.65655497
6.05,33132.0519337598
6.1,33134.3104937701
6.15,33136.3522458198
6.2,33138.1597903492
6.25,33139.8813743992
6.3,33141.4812395396
6.35,33142.9281360293
6.4,33144.3221673192
6.45,33145.6248759497
6.55,33147.99714207
6.6,33149.01440713
6.65,33150.0010759197
6.7,33150.9153939998
6.75,33151.1790173501
6.8,33151.9245817
6.85,33152.6553790998
6.9,33153.3241515197
6.95,33153.95066169
7,33154.5354255
7.05,33155.0850809496
7.1,33155.5976749994
